Feature,Description,PD_Mean,PD_Std,PD_Median,PD_Min,PD_Max,Normal_Mean,Normal_Std,Normal_Median,Normal_Min,Normal_Max,Mean_Diff,Cohens_d,Effect_Size,Overlap_Coef,Separation_Pct,T_Statistic,T_Pvalue,KS_Statistic,KS_Pvalue,U_Statistic,U_Pvalue,Cohens_d_abs
BIX_BIDFAT,Body Fat Mass (kg),26.253913043478263,13.684530175812506,23.1,4.9,58.9,22.911314791403285,11.036558610635975,21.0,1.9,73.7,3.3425982520749784,0.30007393197868654,Small,0.8583211267267497,14.167887327325035,3.1610016191002717,0.0015866214424789988,0.33095696146869674,2.5116431302506743e-11,210893.0,0.0036813903580628173,0.30007393197868654
DEMO_INDFMPIR,Poverty Income Ratio,2.062782608695652,1.4736930265618393,2.32,5.397605346934028e-79,4.7,2.9134860935524656,1.6075682772957418,2.84,5.397605346934028e-79,5.0,-0.8507034848568136,-0.530661936395784,Medium,0.7798870435383279,22.011295646167206,-5.590033193090233,2.456171176413821e-08,0.250200626614632,1.3166792364641549e-06,125760.5,1.5225809921518105e-08,0.530661936395784
DEMO_RIDAGEMN,Age (months),367.09565217391304,58.068618501001026,374.0,246.0,479.0,353.74525916561316,70.20833159791451,348.0,240.0,479.0,13.350393008299875,0.1912075842518714,Negligible,0.882388864789074,11.761113521092604,2.0141952332178814,0.04407060453221321,0.25526576155664266,7.319546342483776e-07,205183.0,0.019717355916064105,0.1912075842518714
DEMO_RIAGENDR,Gender,1.8,0.4017505554096097,2.0,1.0,2.0,1.4535398230088497,0.4979154631100966,1.0,1.0,2.0,0.3464601769911504,0.7000837335301541,Medium,0.6897172960823237,31.02827039176763,7.3747352880748105,2.0753706289141921e-13,0.34646017699115045,2.135387802989112e-12,244961.5,2.567168390222631e-13,0.7000837335301541
BPX_BPXDAR,Diastolic Blood Pressure,68.85217391304347,5.612085140000262,70.0,57.0,82.0,69.4168773704172,11.539005025299701,69.0,5.397605346934028e-79,116.0,-0.5647034573737244,-0.049601781782731155,Negligible,0.6648026160600273,33.519738393997265,-0.5225089413518533,0.6013513429908921,0.26324960149508053,2.835705585577665e-07,176305.5,0.5726121836957581,0.049601781782731155
WHQ_WHD050,Weight 1 Year Ago,152.69565217391303,33.35749315148906,139.0,110.0,225.0,574.0063211125158,6155.641042873701,165.0,68.0,99999.0,-421.3106689386028,-0.0696654690072441,Negligible,0.015179591290726635,98.48204087092734,-0.7338613483523769,0.46308574601268593,0.2657258286154015,2.09556275895338e-07,136229.5,4.557701938344358e-06,0.0696654690072441
DEMO_DMDHHSIZ,Household Size,3.0521739130434784,1.3234953605845923,3.0,1.0,7.0,3.235777496839444,1.5671410511161754,3.0,1.0,7.0,-0.18360358379596553,-0.11774710709939697,Negligible,0.9071985160806554,9.280148391934462,-1.2403569804657446,0.2149321850971717,0.15326224372011213,0.00963584710688284,173987.0,0.41592937983781164,0.11774710709939697
BMX_BMXBMI,Body Mass Index,27.26217391304348,5.492721465020409,26.7,18.5,41.19,26.769209860935526,5.78545007512946,25.634999999999998,15.56,48.56,0.49296405210795413,0.08535411780273135,Negligible,0.9590879211491784,4.091207885082159,0.899126767834244,0.3686512030107284,0.2010168746221074,0.00020848504065173155,193280.0,0.25509265356306876,0.08535411780273135
ALQ_ALQ130,Alcohol Consumption,3.260869565217391,1.9915917839042019,3.0,1.0,16.0,3.259481668773704,3.959084350381486,2.0,1.0,99.0,0.0013878964436870866,0.0003552052915204106,Negligible,0.6799404885196552,32.005951148034484,0.00374175955307158,0.9970147425428604,0.15688451602264608,0.007474133578898108,205178.5,0.016907693127753327,0.0003552052915204106
MCQ_MCQ250F,Family History HTN/Stroke,1.3304347826086957,0.47242820173768363,1.0,1.0,2.0,1.606826801517067,0.48853194921985005,2.0,1.0,2.0,-0.2763920189083713,-0.5663995399806584,Medium,0.7732585185388178,22.674148146118224,-5.9664958269806565,2.6825230133157356e-09,0.27639201890837134,5.5428324153524956e-08,131646.0,2.9349481207098177e-09,0.5663995399806584
MPQ_MPQ070,Lower Back Pain,1.3652173913043477,0.48359825980649657,1.0,1.0,2.0,1.6346396965865992,0.48160716332972603,2.0,1.0,2.0,-0.26942230528225153,-0.559342769402835,Medium,0.7801304489074986,21.98695510925014,-5.892159269069643,4.198051967391119e-09,0.2694223052822514,1.3322149878585017e-07,132914.0,4.572482906027398e-09,0.559342769402835
DEMO_DMDMARTL,Marital Status,2.8869565217391306,1.6209441551865411,3.0,1.0,6.0,3.3486093552465235,2.0022500685662052,5.0,1.0,6.0,-0.46165283350739283,-0.23196162389576977,Small,0.8635734536035449,13.642654639645514,-2.443501386037545,0.014597928483059039,0.25082449293684383,1.2257631791311037e-06,154392.5,0.0030201334764766367,0.23196162389576977
