Feature,Mean_SHAP_PD,Mean_SHAP_Normal,Difference
BIX_BIDFAT,1.9151646758851553,-3.019434292922552,4.934598968807707
DEMO_INDFMPIR,1.7196480788042872,-3.2069412815892986,4.926589360393586
DEMO_RIDAGEMN,1.200300744909465,-2.590124769320738,3.7904255142302032
BMX_BMXBMI,0.8029371333872699,-2.616493923499181,3.4194310568864505
DEMO_RIAGENDR,1.7894893290402263,-1.0470518529423547,2.836541181982581
BPX_BPXDAR,0.6547211993833213,-2.017297213464275,2.672018412847596
MPQ_MPQ070,1.549583972741506,-0.4244840720000109,1.9740680447415169
ALQ_ALQ130,0.21712200243616314,-1.4822671786642354,1.6993891811003985
MCQ_MCQ250F,0.7330346918280572,-0.48277856415224246,1.2158132559802997
DEMO_DMDHHSIZ,-0.04862861831789366,-0.8795737895698451,0.8309451712519514
DEMO_DMDMARTL,-0.17358939147878286,-0.9105191877503823,0.7369297962715995
